Query,Responses,Passages,Meta Data,Positive Query,Tool Name,Agent Id,endpoints
I want to optimise category data,store_id-category_ids-fields-user_instructions-llm,Category data optimiser uses strategic keyword optimization and content analysis to improve search visibility for e-commerce categories.,"Tool: Category Data Optimiser, Feature: SEO optimization specialized for Category data, Input: store_id, category_ids, fields, user_instructions, llm",TRUE,Category Data Optimiser,15,/categorydataoptimiser
How can I optimize product names for better SEO?,store_id-skus-fields-user_instructions-llm,"The Product Data Optimiser uses AI to enhance product names , descriptions, video title and video description, image title and image description, search keywords, meta keywords for SEO impact. These fields are specific for product data","Tool: Product Data Optimiser, Feature: Product data optimization, Input: store_id,skus,fields,user_instructions,llm",TRUE,Product Data Optimiser,16,/productdataoptimiser
What do I need to improve product descriptions?,store_id-skus-fields-user_instructions-llm,Product descriptions are optimized by analyzing customer engagement trends and SEO keywords.,"Tool: Product Data Optimiser, Feature: Product Description optimization, Input: store_id,skus,fields,user_instructions,llm",TRUE,Product Data Optimiser,16,/productdataoptimiser
How do I optimize my product data for e-commerce?,store_id-skus-fields-user_instructions-llm,"Product Data Optimiser improves product naming and descriptions for e-commerce platforms using AI-powered techniques. Not only it optimises product name and product descriptions, it also optimises  video title and video description, image title and image description, search keywords, meta keywords for SEO impact.","Tool: Product Data Optimiser, Feature: E-commerce Product Data optimization, Input: store_id,skus,fields,user_instructions,llm",TRUE,Product Data Optimiser,16,/productdataoptimiser
How do I improve search rankings for my products?,store_id-skus-fields-user_instructions-llm,Rankings are improved by optimizing product names and descriptions using high-performing keywords.,"Tool: Product Data Optimiser, Feature: Search rankings improvement specifically for product data Input: store_id,skus,fields,user_instructions,llm",TRUE,Product Data Optimiser,16,/productdataoptimiser
How can I make my product descriptions more engaging to customers,store_id-skus-fields-user_instructions-llm,"Engaging product descriptions are implementing AI-driven enhancements. Product Data optimiser can enhance product data and meta data like  video title and video description, image title and image description, search keywords, meta keywords for SEO impact.","Tool: Product Data Optimiser, Feature: Customer engagement improvement by optimising specifically product data",TRUE,Product Data Optimiser,16,/productdataoptimiser
How do i optimise product images,store_id,The Image Optimiser tool uses AI-driven compression techniques and requires the store ID to function effectively.,"Tool: Image Optimiser, Feature: AI Image compression, Input: store_id",TRUE,Image Optimiser,1,/imageoptimiser
can I optimise product videos?,none,"The Product Data Optimiser uses AI to enhance text fields like product names , descriptions, video title and video description, image title and image description, search keywords, meta keywords for SEO impact. These fields are specific for product data. It can't optimise videos",Tool: none Feature: none Input: none,FALSE,none,0,none
I wanna optimize product images in my store.,store_id,The tool uses AI-driven compression techniques to reduce loading times and bandwidth usage.,"Tool: Image Optimiser, Feature: Website Performance optimization ",TRUE,Image Optimiser,1,/imageoptimiser
How can I enhance images of all products for my e-commerce website?,store_id,Usig Image Optimiser tool might give you increased perfromance of your store,"Tool: Image Optimiser, Feature:Reducing image size improves performance, Input: store_id",TRUE,Image Optimiser,1,/imageoptimiser
How can I check if my webpage follows brand guidelines?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,"The Brand Guide Optimiser scans user-provided URLs to evaluate visual elements, content, and styling against brand guidelines. ","Tool: Brand Guide Optimiser, Feature: Brand compliance analysis by analyse brand text content,css content, Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
What do I need to analyze my webpage for brand consistency?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,"To analyze brand consistency, the tool requires inputs such as store ID, base URL, selected URL, and brand elements like color palette and typography.","Tool: Brand Guide Optimiser, Feature: Brand consistency checker, Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
Can you help me validate my website against brand standards?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,Brand Guide Optimiser validates webpages by comparing them with brand standards. It assesses visual elements like color palette and typography for alignment with the brand story.,"Tool: Brand Guide Optimiser, Feature: Brand standards validation, Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
How do I ensure my website aligns with my brand identity?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,"Brand Guide Optimiser  evaluates webpages for alignment with brand identity by analyzing content styling, color palette, typography, and brand voice.","Tool: Brand Guide Optimiser, Feature: Brand identity verification,Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
How do I improve the visual consistency of my website?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,Visual consistency is improved by ensuring alignment with the color palette and typography defined in the brand guide. Brand Guide Optimiser analyzes these elements based on user-provided URLs,"Tool: Brand Guide Optimiser, Feature: Visual consistency improvement Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
How can I verify if my website uses the correct typography?,store_id-base_url-selected_url-brand_story-color_palette-typography-brand_voice,Typography is verified by comparing webpage text styles against the font specifications in the provided brand guide. Inputs include store ID and URLs of pages to analyze.,"Tool: Brand Guide Optimiser, Feature: Typography verification Input: store_id,base_url,selected_url,brand_story,color_palette,typography,brand_voice",TRUE,Brand Guide Optimiser,14,/brandguideoptimiser
How can I check the SEO performance of my website?,store_id-urls,"The SEO Performance Reporter uses PageSpeed API to analyze performance of a website in terms of SEO performance metrics, and search visibility. ","Tool: SEO Performance Reporter, Feature: SEO performance analysis by using pagespeed api , reports only SEO Performance, not overall performance, Input: store_id, urls",TRUE,SEO Performance Reporter,22,/seoperformancereporter
Can you help me generate an SEO report for my website?,store_id-urls,The tool generates comprehensive SEO reports by analyzing webpage optimization and search engine visibility. Inputs required are store ID and URLs of the pages to analyze.,"Tool: SEO Performance Reporter, Feature: SEO reporting by using pagespeed api., Input: store_id, urls",TRUE,SEO Performance Reporter,22,/seoperformancereporter
How do I evaluate my website's search engine visibility?,store_id-urls,Search engine visibility is tracked by analyzing key metrics provided by the SEO Performance Tracker.. It evaluates how well pages are optimized for search engines using inputs  store ID and URLs.,,TRUE,SEO Performance Reporter,22,/seoperformancereporter
Can this tool help me monitor my website's performance over time?,none,"The SEO Performance Reporter uses PageSpeed API to analyze performance of a website in terms of SEO performance metrics, and search visibility. SEO Performance Reporter cannot monitor the performance",Tool: none Feature: none Input: none,FALSE,none,0,none
I want to evalute SEO performance of my website,store_id-urls,"The SEO Performance Reporter uses PageSpeed API to analyze performance of a website in terms of SEO performance metrics, and search visibility. ","Tool: SEO Performance Reporter, Feature: SEO performance analysis by using pagespeed api , reports only SEO Performance, not overall performance, Input: store_id, urls",TRUE,SEO Performance Reporter,22,/seoperformancereporter
I want to see how my site performs in terms of SEO,store_id-urls,The tool generates comprehensive SEO reports by analyzing webpage optimization and search engine visibility. Inputs required are store ID and URLs of the pages to analyze.,"Tool: SEO Performance Reporter, Feature: SEO reporting by using pagespeed api., Input: store_id, urls",TRUE,SEO Performance Reporter,22,/seoperformancereporter
How can I check if my product data is complete?,store_id,"The Schema Validator analyzes product data completeness by validating essential fields such as names, descriptions, specifications, pricing, and metadata. It identifies missing or empty fields and provides a detailed report. Inputs required include store ID.","Tool: Schema Validator, Feature: Data completeness analysis, specific for product data, Input: store_id",TRUE,Schema Validator,20,/schemavalidator
What do I need to validate my product data schema?,store_id,"To validate product data schema, the tool requires inputs such as store ID. It checks for missing or incomplete fields in product entries like specifications and pricing.Only validation, not optimisation","Tool: Schema Validator, Feature: Schema validation of product data, Input: store_id",TRUE,Schema Validator,20,/schemavalidator
Can you help me verify the attributes of my product data?,store_id,"Schema Validator performs attribute verification by analyzing product entries for missing or incomplete fields like descriptions and metadata. Inputs include store ID.Only validation, not optimisation","Tool: Schema Validator, Feature: Attribute checking of product data. Input: store_id",TRUE,Schema Validator,20,/schemavalidator
How do I check if all fields in my product data are filled?,store_id,"Schema Validator checks for missing or empty fields in essential attributes like names and metadata of a product data inan ecommerce store. It provides a detailed report on field completeness using inputs like store ID.Only validation, not optimisation","Tool: Schema Validator, Feature: Field validationof a product data. Only validation, not optimisation Input: store_id",TRUE,Schema Validator,20,/schemavalidator
"I have a lot of products in my store, can you help me filter products with incomplete data",store_id,"The Schema Validator analyzes product data completeness by validating essential fields such as names, descriptions, specifications, pricing, and metadata. It identifies missing or empty fields and provides a detailed report. Inputs required include store ID.","Tool: Schema Validator, Feature: Data completeness analysis, specific for product data, Input: store_id",TRUE,Schema Validator,20,/schemavalidator
can you check completedness of data of all products in my store?,store_id,"To validate product data schema, the tool requires inputs such as store ID. It checks for missing or incomplete fields in product entries like specifications and pricing.Only validation, not optimisation","Tool: Schema Validator, Feature: Schema validation of product data, Input: store_id",TRUE,Schema Validator,20,/schemavalidator
How can I generate high-performing keywords for my pages in my store?,store_id-urls-llm,The Keyword Analyser uses AI to analyze multiple URLs and generate high-performing keyword suggestions. It extracts and recommends strategic keywords to improve search visibility. Inputs required include store ID and URLs.,"Tool: Keyword Analyser, Feature: Keyword generation of a particular page, Input: store_id, urls, llm",TRUE,Keyword Analyser,22,/keywordanalyser
I need to analyze keywords for my website,store_id-urls-llm,"To analyze keywords for a website, the Keyword Analyser requires inputs such as store ID and URLs. It leverages LLM technology to extract and recommend optimized keywords based on content analysis.","Tool: Keyword Analyser, Feature: Keyword analysis, Input: store_id, urls, llm",TRUE,Keyword Analyser,22,/keywordanalyser
Can you help me improve search visibility with better keywords?,store_id-urls-llm,Keyword Analyser improves search visibility by analyzing content from multiple URLs and suggesting AI-enhanced strategic keywords. Inputs required include store ID and URLs.,"Tool: Keyword Analyser, Feature: Search visibility improvement, Input: store_id, urls",TRUE,Keyword Analyser,22,/keywordanalyser
How do I optimize my content with AI-driven keyword suggestions?,store_id-urls-llm,Content optimization is achieved by using AI-driven keyword recommendations generated by analyzing URL content. Inputs include store ID and URLs of the pages to analyze.,"Tool: Keyword Analyser, Feature: AI-enhanced keyword optimization, Input: store_id, urls",TRUE,Keyword Analyser,22,/keywordanalyser
How can I get a list of strategic keywords for my blog posts?,store_id-urls-llm,Strategic keywords are generated by analyzing blog post content using LLM technology. The tool extracts high-performing terms based on URL content analysis. Inputs include store ID and URLs of the posts to analyze.,"Tool: Keyword Analyser, Feature: Blog keyword strategy",TRUE,Keyword Analyser,22,/keywordanalyser
